cost,evac,widths
0.0,516.4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,500.42,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,493.83,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,493.2,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,488.85,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,488.18,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,486.7,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,484.29,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,484.02,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,481.4,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
