cost,evac,widths
0.0,573.68,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,543.27,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,539.04,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,536.14,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,529.63,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,528.87,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,527.83,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,527.64,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,527.53,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,525.56,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
