cost,evac,widths
0.0,495.35,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,484.83,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,481.23,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,478.45,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,474.87,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,474.0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,473.17,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1408.26,472.97,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,470.58,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1966.09,467.86,"[0,2,4,0,0,0,0,0,0,2,0,4,2,2,0]"
