cost,evac,widths
0.0,482.11,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,471.81,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,468.14,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
747.52,463.38,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,463.09,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,462.24,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,460.63,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,459.58,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,458.53,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,456.25,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
