cost,evac,widths
0.0,576.39,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,539.57,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,539.32,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,536.6,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,530.37,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1023.02,528.77,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,526.31,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1967.96,525.03,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
2138.6,524.57,"[0,2,4,0,0,0,0,0,0,2,0,4,4,2,0]"
3212.83,524.55,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
