cost,evac,widths
0.0,543.41,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,520.64,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,516.25,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,513.86,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,509.69,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,507.17,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,506.09,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1333.08,505.13,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
1532.9,504.02,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1660.39,495.11,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
