cost,evac,widths
0.0,481.46,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,470.95,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
347.46,468.92,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,468.04,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,463.33,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
988.79,462.68,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,461.59,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1333.08,460.42,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
1532.9,459.06,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1660.39,451.82,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
