cost,evac,widths
0.0,1280.35,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
172.35,1280.31,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
174.95,1208.92,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1193.02,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1165.5,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1138.09,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1092.24,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1023.02,1081.66,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,1078.94,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,1069.73,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1041.94,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1008.2,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
