cost,evac,widths
0.0,1445.39,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1367.38,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1345.07,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1313.55,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1285.77,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1229.74,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1222.56,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1221.0,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1217.35,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1202.85,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1185.24,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1146.06,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
