sim_call,batch,evac,cost_proxy,widths
1,0,1658.8236157505821,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1560.0736673752406,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1528.817192023484,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1465.784801093228,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1399.5762688531227,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1367.6412278570706,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1321.102530620508,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1512.1980159935215,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1491.1098592974997,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1395.680678206296,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1389.5856888349024,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1388.8995141208625,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1378.1513614738335,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,1415.3676384249418,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,1392.0956392347402,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,1511.8548041299728,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,1390.0050470695414,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,1387.1250349225631,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,1535.6145956068426,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,1497.6503006377163,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,1395.3032837331714,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
22,1,1491.7313452778621,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,1373.7606235448932,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,1400.346274926612,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
