sim_call,batch,evac,cost_proxy,widths
1,0,1264.7670045774933,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1196.238469951996,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1176.8987989143645,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1125.8800348382654,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1078.7953616495515,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1056.695576350489,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1000.8563670980941,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1168.7258628372356,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1153.8313179801908,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1072.1466620080614,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1070.9310526422394,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1070.2380527030039,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1040.640583540945,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,1152.5159607866965,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1039.150750440542,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1107.7366247392195,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1077.261604990784,1966.0900000000001,"[0,2,4,0,0,0,0,0,0,2,0,4,2,2,0]"
18,1,1081.7139110003848,1330.8600000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,4,0,0]"
19,1,1057.6686415101983,1408.2600000000002,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
20,1,1169.8307168030462,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1129.5475279009945,1410.9700000000003,"[0,0,0,0,4,0,0,0,0,0,0,2,4,0,0]"
22,1,1139.6583702983532,1702.6600000000003,"[0,0,0,0,0,0,4,0,0,2,0,4,2,2,0]"
23,1,1193.900736262178,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1260.7193652272545,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
