cost,evac,widths
0.0,1619.97,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1527.39,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1501.53,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1466.7,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1434.13,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1373.74,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1366.06,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1362.02,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1532.9,1344.56,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1331.27,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1283.05,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
