sim_call,batch,evac,cost_proxy,widths
1,0,1655.8242688163332,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1562.0933341435255,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1542.9736976423885,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1475.909796236657,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1411.5521034615465,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1382.1588665410868,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1336.3367006947396,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1525.8870250344326,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1499.0921198679387,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1407.3934850418261,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1401.0922251929271,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1401.5086893115392,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1381.2358489801707,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,1497.9768487573676,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1377.604023617103,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1444.124000931721,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1475.845601668996,1490.7700000000002,"[0,2,2,0,0,0,0,0,0,2,0,4,2,0,0]"
18,1,1524.7427225958031,983.4000000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,0,0,0]"
19,1,1501.3181499635418,785.3000000000001,"[4,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
20,1,1544.4097018553027,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1594.330624645548,1063.51,"[0,0,0,0,4,0,0,0,0,0,0,2,0,0,0]"
22,1,1545.3890786089,1427.16,"[0,0,0,0,0,0,4,0,0,2,0,4,2,0,0]"
23,1,1563.5566597800328,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1666.6866381754842,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
