cost,evac,widths
0.0,1524.91,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1439.33,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1410.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1381.77,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1356.29,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1295.58,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1290.99,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1287.15,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1285.1,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1266.98,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1220.38,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
