cost,evac,widths
0.0,1525.09,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1446.69,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1423.76,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1388.41,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1367.63,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1307.46,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1303.81,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1299.51,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1297.45,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1281.12,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1276.53,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1233.12,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
