cost,evac,widths
0.0,1502.87,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1421.59,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1398.19,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1368.98,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1341.05,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1286.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1276.83,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1275.33,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1273.26,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1259.32,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1245.32,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1204.79,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
