cost,evac,widths
0.0,1375.94,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1299.88,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1283.49,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1253.46,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1228.55,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1172.36,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1167.83,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1163.53,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1163.37,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1151.41,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1135.5,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1095.62,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
