cost,evac,widths
0.0,1531.74,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1446.48,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1422.71,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1387.6,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1357.62,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1299.33,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1291.71,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1290.65,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1286.77,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1274.56,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1254.02,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1211.1,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
