sim_call,batch,evac,cost_proxy,widths
1,0,1250.5081220124769,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1196.0641925421805,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1173.0731426719597,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1130.7250612707865,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1081.051809766867,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1062.068636446497,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1009.4934880800471,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1163.3233877501418,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1152.6018472382573,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1079.916070162646,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1073.4500617771566,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1071.7809726357577,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1124.7744349023737,1620.5,"[0,4,4,0,0,0,0,0,0,0,0,0,0,4,0]"
14,1,1095.5195205687548,547.7,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1047.6041097000264,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1099.5726114520671,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1107.4408893885075,1490.7700000000002,"[0,2,2,0,0,0,0,0,0,2,0,4,2,0,0]"
18,1,1153.3587529368874,983.4000000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,0,0,0]"
19,1,1142.1367293202625,785.3000000000001,"[4,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
20,1,1174.1073523454588,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1206.9951531232277,1063.51,"[0,0,0,0,4,0,0,0,0,0,0,2,0,0,0]"
22,1,1152.8618419720078,1427.16,"[0,0,0,0,0,0,4,0,0,2,0,4,2,0,0]"
23,1,1195.8494470438109,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1250.8551932269302,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
