cost,evac,widths
0.0,1528.4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1440.23,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1408.54,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1377.16,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1351.03,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1289.04,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1283.69,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1280.92,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1277.94,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1261.59,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1214.49,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
