cost,evac,widths
0.0,1547.24,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1468.66,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1443.0,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1407.12,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1377.4,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1316.39,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1310.2,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1308.63,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1304.27,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1289.96,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1276.85,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1234.8,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
