cost,evac,widths
0.0,1256.48,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1189.51,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1164.38,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1145.13,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1122.1,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1071.78,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1069.03,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1060.21,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1051.48,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1660.39,1051.27,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
2132.91,1051.1,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
3212.83,1002.74,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
