cost,evac,widths
0.0,1421.28,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1339.05,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1310.93,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1284.67,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1259.18,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1200.45,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1194.66,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1189.51,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1175.63,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1125.48,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
