cost,evac,widths
0.0,1340.36,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1260.45,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1232.33,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1211.42,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1181.58,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1125.5,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1122.26,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1120.92,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1118.33,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1105.3,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2132.91,1102.97,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
3212.83,1052.42,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
