sim_call,batch,evac,cost_proxy,widths
1,0,1447.3487228827807,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1367.379379772732,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1345.0718365776095,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1285.7737162997023,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1230.0802831736514,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1205.3027669185117,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1146.0624177115194,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1336.3168577447386,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1313.5489456946666,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1222.5616560999817,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1221.0017865462132,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1217.345773663635,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1389.1825173691993,1131.89,"[0,4,0,0,0,0,0,0,0,2,2,0,0,0,0]"
14,1,1368.1916020174601,805.45,"[0,0,0,0,0,4,0,0,4,0,0,0,2,0,0]"
15,1,1217.3990722923293,1303.3700000000001,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
16,1,1326.3861228706273,650.6600000000001,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
17,1,1202.8456946666938,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
18,1,1229.7449107739674,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
19,1,1205.121709979947,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
20,1,1198.5257530028966,2560.4400000000005,"[0,2,4,0,2,0,0,4,0,0,4,0,4,0,0]"
21,1,1448.1105785006785,172.35000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
22,1,1445.3894549211043,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
23,1,1348.8484595596426,886.35,"[0,0,0,0,0,0,0,0,0,0,0,0,2,4,2]"
24,1,1185.244821649213,2308.42,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
