sim_call,batch,evac,cost_proxy,widths
1,0,1471.125271408896,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1396.2650381803082,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1371.8829457992385,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1314.779475805635,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1257.56660488951,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1232.153632699358,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1181.6333616900608,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1355.8198999432877,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1340.4437483542972,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1251.8165724818214,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1250.8353264061898,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1248.127504000324,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1226.636831338235,1967.9600000000003,"[0,4,4,0,0,0,0,0,0,0,0,0,4,4,0]"
14,1,1338.1308237629378,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
15,1,1224.0291952765795,1940.6200000000001,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
16,1,1285.1459297968443,1358.17,"[0,0,4,0,4,0,0,0,0,0,0,0,2,0,0]"
17,1,1302.8041927447287,1490.7700000000002,"[0,2,2,0,0,0,0,0,0,2,0,4,2,0,0]"
18,1,1357.0432026249698,983.4000000000001,"[0,0,2,0,4,0,0,0,0,0,0,0,0,0,0]"
19,1,1332.5586921737017,785.3000000000001,"[4,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
20,1,1371.5311360690268,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
21,1,1421.6497923924492,1063.51,"[0,0,0,0,4,0,0,0,0,0,0,2,0,0,0]"
22,1,1364.3495736363454,1427.16,"[0,0,0,0,0,0,4,0,0,2,0,4,2,0,0]"
23,1,1392.5609163273987,485.28000000000003,"[0,0,0,0,0,2,0,0,0,0,0,0,2,0,0]"
24,1,1472.615987806854,280.35,"[0,0,0,0,0,0,0,0,0,0,0,2,0,0,0]"
