cost,evac,widths
0.0,1270.11,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1210.1,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1190.51,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1165.79,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1142.85,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1094.94,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1092.6,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1085.02,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,1081.94,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,1074.07,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1051.43,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1019.07,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
