cost,evac,widths
0.0,1336.35,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1266.72,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1246.04,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1219.56,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1194.05,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1139.08,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1132.7,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1129.83,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1408.26,1118.8,"[4,0,2,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1118.15,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1101.42,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1060.55,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
