cost,evac,widths
0.0,1591.89,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1503.53,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1480.12,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1445.96,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1423.86,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
547.7,1380.81,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
747.52,1360.62,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1354.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1349.77,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1332.87,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
1940.62,1314.88,"[0,4,4,0,0,0,0,0,0,0,2,0,4,2,0]"
3212.83,1275.85,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
