cost,evac,widths
0.0,1672.14,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1588.2,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1568.2,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1519.02,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1491.16,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1425.85,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1420.69,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1416.06,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1413.96,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1395.34,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1389.67,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1344.29,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
