sim_call,batch,evac,cost_proxy,widths
1,0,1338.7743557040185,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1259.6585960117422,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1233.6558649660897,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1179.3646259742889,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1126.6137382326147,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1105.8506326551271,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1049.1466717279077,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1221.2726207105982,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1208.9456706144347,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1121.7030458548434,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1118.1839356210141,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1119.2606336673753,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1101.00776900496,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,1132.9197347909706,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,1123.5879886628202,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,1221.5757991699566,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,1110.4264702905152,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,1120.8985676687923,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
19,1,1235.800865472214,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,1212.501848365219,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,1121.5709585990485,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
22,1,1122.1507622228971,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
23,1,1103.31981981982,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,1126.3862961838245,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
