cost,evac,widths
0.0,1545.04,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1469.55,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1444.4,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1408.94,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1382.3,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1322.95,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1316.44,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1313.37,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1310.16,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1294.34,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1284.7,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1242.13,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
