cost,evac,widths
0.0,1345.68,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1268.45,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1238.77,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1214.11,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1188.19,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1132.42,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1129.7,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1127.63,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1122.9,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1112.78,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1063.91,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
