cost,evac,widths
0.0,1470.4,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1388.01,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1356.97,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1332.75,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1303.18,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1244.94,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1239.85,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
988.79,1238.15,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
1023.02,1234.27,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1532.9,1219.04,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
3212.83,1170.42,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
