cost,evac,widths
0.0,1355.98,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
172.35,1355.73,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,2]"
174.95,1282.55,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1262.68,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1232.83,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1205.26,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1153.69,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1023.02,1142.42,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,1141.55,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,1130.51,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1106.18,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1070.16,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
