sim_call,batch,evac,cost_proxy,widths
1,0,1256.4822937544286,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2,0,1189.505347707258,174.95000000000002,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
3,0,1164.3771353375848,200.24,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
4,0,1122.1041856463205,375.19000000000005,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
5,0,1071.783187569592,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
6,0,1051.4784796031986,1532.9,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
7,0,1002.7351634780848,3212.8300000000004,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
8,0,1152.3511499139588,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
9,0,1146.0158335863955,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
10,0,1070.521069946351,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
11,0,1067.3187691061848,988.7900000000002,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,0]"
12,0,1062.0083834396194,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
13,1,1051.1038576779026,2132.9100000000003,"[0,2,4,0,0,4,0,0,0,0,0,0,4,2,2]"
14,1,1071.0695981374633,2316.6200000000003,"[2,0,0,0,2,0,2,0,4,0,4,0,4,4,0]"
15,1,1064.3338475554206,1333.0800000000002,"[0,0,2,0,0,0,0,0,0,0,2,0,4,4,0]"
16,1,1153.0351371596316,400.06000000000006,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
17,1,1053.1238475554205,1815.28,"[0,0,4,0,0,0,4,2,4,0,0,0,4,2,0]"
18,1,1060.2099888652697,1023.0200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
19,1,1164.0169996963252,566.84,"[0,0,0,0,2,0,0,0,0,0,0,0,2,0,0]"
20,1,1133.6678105071364,2150.5,"[0,0,2,0,4,0,0,4,0,0,0,4,0,0,0]"
21,1,1069.0297975503595,908.0,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
22,1,1145.1280777406619,347.46000000000004,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
23,1,1051.2739001923273,1660.3900000000003,"[0,0,4,4,0,0,0,0,0,0,0,0,4,4,0]"
24,1,1073.9875898370283,747.5200000000001,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
