cost,evac,widths
0.0,1401.72,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
174.95,1323.0,"[0,0,0,0,0,0,0,0,0,0,0,0,2,0,0]"
200.24,1300.25,"[0,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
347.46,1270.81,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
375.19,1241.91,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]"
747.52,1187.76,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
908.0,1182.5,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,2]"
1023.02,1176.51,"[0,0,4,0,0,0,0,0,0,0,0,0,4,2,0]"
1303.37,1175.5,"[0,0,4,0,0,0,0,0,0,0,0,2,4,2,0]"
1532.9,1163.16,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]"
2308.42,1141.96,"[2,2,2,0,2,0,2,0,4,0,4,0,4,0,0]"
3212.83,1103.8,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]"
