ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,206.153,304.77,0.241237,-0.0334608,0.243547,0.347708,0,0,1.42769,0.356922,0,0.41355,0.254963,1,1,0.984808,0.173648,-0.187175,-0.982327,2.52008,0.588467,3.10854
1,1,312.601,681.296,0.349532,0.552687,0.653938,0.485629,0,0,0.742621,0.185655,0,0.663157,0.147119,1,1,0.34202,0.939693,0.905588,0.424158,2.35514,0.249651,2.6048
2,1,148.506,666.213,0.0927134,0.595634,0.602807,0.782174,0,0,1.29755,0.324388,0,0.456451,0.23104,1,1,0.34202,0.939693,-0.870697,-0.491819,3.87024,0.279496,4.14974
3,0
4,1,492.486,442.55,0.531621,0.131491,0.547641,0.550928,0,0,1.006,0.251501,0,0.560251,0.183323,1,1,0.984808,0.173648,-0.901824,-0.432103,4.87573,0.504786,5.38052
5,1,170.297,673.972,-0.483655,0.0643795,0.487921,0.566038,0,0,1.1601,0.290025,0,0.504064,0.207527,1,1,-0.939693,0.34202,-0.283373,-0.95901,4.51204,0.180793,4.69284
6,1,571.29,780.122,1.21773,-0.23171,1.23958,0.322491,0,0,0.260161,0.0650403,0,0.87415,0.0962296,1,1,1,0,0.057787,-0.998329,0.284462,0,0.284462
7,1,357.982,176.912,-0.27113,-0.235378,0.359046,0.527316,0,0,1.46866,0.367164,0,0.400481,0.262824,1,1,-0.642788,-0.766044,-0.955276,-0.295715,0.950047,0.321026,1.27107
8,1,257.567,195.348,-0.424082,-0.993075,1.07984,0.586524,0,0,0.543161,0.13579,0,0.746859,0.12381,1,1,-0.34202,-0.939693,-0.72032,0.693642,0.317277,0.291438,0.608715
9,1,363.39,193.791,-0.556136,-0.158026,0.578152,0.277256,0,0,0.479556,0.119889,0,0.774595,0.117073,1,1,-0.939693,0.34202,0.400553,-0.916274,1.59118,0.672029,2.26321
10,1,533.352,181.932,-0.0257518,1.02553,1.02585,0.239376,0,0,0.233344,0.058336,0,0.886731,0.0939224,1,1,-0.34202,0.939693,0.714253,0.699887,0.706323,1.06089,1.76721
11,1,601.882,329.688,0.236438,1.18001,1.20347,0.180462,0,0,0.149952,0.037488,0,0.926429,0.087062,1,1,0.173648,0.984808,-0.0585989,-0.998282,0.225258,0,0.225258
12,1,166.388,622.052,-1.20177,-0.305356,1.23996,0.315057,0,0,0.254087,0.0635218,0,0.876991,0.0957026,1,1,-0.939693,-0.34202,0.109013,0.99404,0.640541,0.45625,1.09679
13,1,106.044,401.86,-0.798399,0.190969,0.820921,0.620309,0,0,0.755626,0.188907,0,0.657873,0.148758,1,1,-0.939693,0.34202,-0.0811802,-0.996699,0.946917,0.593875,1.54079
14,1,503.165,193.752,0.32039,-0.578576,0.661362,0.346289,0,0,0.5236,0.1309,0,0.755335,0.121703,1,1,0.34202,-0.939693,-0.362749,0.931887,2.94829,1.13461,4.0829
15,1,251.165,207.18,-0.0552447,-0.422822,0.426416,0.598877,0,0,1.40444,0.351111,0,0.421057,0.250573,1,1,-0.34202,-0.939693,0.988394,0.151914,5.54962,0.397346,5.94697
16,0
17,1,405.366,91.6992,0.00633564,-0.415377,0.415425,0.571667,0,0,1.3761,0.344025,0,0.430303,0.245289,1,1,0.34202,-0.939693,-0.898582,0.438805,5.16142,0.128528,5.28994
18,1,161.653,535.231,-0.577699,0.0826738,0.583584,0.518968,0,0,0.889277,0.222319,0,0.604787,0.166488,1,1,-0.939693,0.34202,0.028111,-0.999605,3.9672,0.308381,4.27558
19,1,558.159,348.114,0.0425351,-0.439936,0.441987,0.603712,0,0,1.3659,0.341476,0,0.433654,0.243406,1,1,-0.173648,-0.984808,0.99917,-0.0407378,5.31407,0.805782,6.11985
20,1,537.031,190.641,0.94309,0.369689,1.01296,0.306319,0,0,0.302399,0.0755999,0,0.854516,0.0999662,1,1,0.939693,0.34202,0.512041,0.858961,0.654592,0.852828,1.50742
21,1,318.299,298.53,0.151728,-0.26397,0.304469,0.195072,0,0,0.640695,0.160174,0,0.705308,0.134784,1,1,0.766044,0.642788,-0.796294,0.604909,1.66266,2.21818,3.88083
22,1,429.314,613.594,0.125302,0.199065,0.235218,0.245774,0,0,1.04488,0.261219,0,0.545797,0.189214,1,1,0.5,0.866025,0.0161145,-0.99987,3.16902,1.14875,4.31777
