ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,218.137,275.922,0.0251785,-0.0987514,0.101911,0.194256,0,0,1.90614,0.476536,0,0.274015,0.35575,1,1,0.5,-0.866025,-0.612331,-0.790602,1.98352,0.12444,2.10796
1,1,330.478,694.899,0.166324,0.187318,0.250503,0.267189,0,0,1.06661,0.266653,0,0.537798,0.192571,1,1,0.5,0.866025,0.0119301,-0.999929,8.62389,0.426922,9.05081
2,0
3,0
4,1,534.318,443.724,0.178505,-0.0320845,0.181366,0.340387,0,0,1.8768,0.4692,0,0.281749,0.349054,1,1,0.984808,0.173648,-0.693979,-0.719995,1.27197,0.201376,1.47335
5,0
6,1,604.364,759.227,-0.316369,-0.102122,0.332443,0.379937,0,0,1.14286,0.285716,0,0.510202,0.204706,1,1,-0.984808,-0.173648,0.987906,0.155057,10.0011,1.02877,11.0299
7,0
8,0
9,1,321.546,193.928,-0.169925,-0.254751,0.306222,0.335155,0,0,1.09448,0.27362,0,0.527627,0.196942,1,1,-0.642788,-0.766044,0.993826,-0.110949,7.49047,0.41345,7.90392
10,1,558.826,198.047,0.14334,0.216457,0.259615,0.237864,0,0,0.916218,0.229054,0,0.594357,0.17026,1,1,0.34202,0.939693,0.188004,-0.982168,6.09828,0.666466,6.76475
11,0
12,0
13,0
14,1,491.181,180.254,-0.208754,-0.0848337,0.225333,0.244215,0,0,1.08379,0.270949,0,0.531516,0.195257,1,1,-0.939693,-0.34202,0.977473,0.211059,8.02592,0.0806746,8.1066
15,0
16,0
17,0
18,1,143.579,573.31,-0.0122141,0.275814,0.276084,0.506022,0,0,1.83286,0.458214,0,0.293532,0.339137,1,1,-0.34202,0.939693,0.888712,0.458465,0.809692,0.258938,1.06863
19,1,592.78,337.049,0.0760185,-0.0178338,0.0780823,0.144877,0,0,1.85543,0.463858,0,0.287448,0.344215,1,1,0.939693,-0.34202,-0.916241,0.400628,0.518445,0.200465,0.71891
20,1,595.903,183.009,-0.0423375,-0.229714,0.233582,0.252819,0,0,1.08236,0.270589,0,0.532041,0.195031,1,1,-0.642788,-0.766044,0.694672,0.719327,7.05757,0.434406,7.49198
21,1,300.388,282.661,-0.138476,-0.0886924,0.164444,0.285244,0,0,1.73459,0.433648,0,0.320755,0.317473,1,1,-0.939693,-0.34202,-0.938855,0.344313,1.02904,0.0886834,1.11773
22,1,448.936,637.825,0.180049,0.0794325,0.196792,0.220478,0,0,1.12036,0.280089,0,0.518271,0.201066,1,1,0.642788,0.766044,0.0193125,-0.999814,7.09613,0.160551,7.25669
23,1,569.172,345.047,0.0488288,-0.19251,0.198606,0.264761,0,0,1.3331,0.333274,0,0.444523,0.237415,1,1,0.34202,-0.939693,-0.937767,0.347265,6.5737,0.323654,6.89735
24,1,558.596,718.537,1.20284,-0.194591,1.21848,0.36264,0,0,0.297616,0.0744041,0,0.856728,0.0995366,1,1,0.984808,-0.173648,-0.18844,-0.982085,0.317989,0.0403664,0.358355
25,1,221.961,627.049,-0.160546,-0.126951,0.204674,0.364478,0,0,1.78077,0.445192,0,0.307812,0.327562,1,1,-0.939693,-0.34202,0.856705,0.515806,1.29385,0.618605,1.91246
26,1,545.977,456.497,0.156744,-0.157199,0.221991,0.301165,0,0,1.35665,0.339163,0,0.436705,0.241706,1,1,0.866025,-0.5,-0.839818,-0.542868,7.21488,0.249986,7.46487
27,0
28,0
29,1,529.686,617.534,0.0729014,-0.121414,0.141619,0.271121,0,0,1.91444,0.47861,0,0.271848,0.357654,1,1,0.866025,-0.5,-0.904599,-0.426264,0.822771,0.191755,1.01453
30,0
31,1,377.107,301.955,0.186212,-0.168426,0.251082,0.248412,0,0,0.989364,0.247341,0,0.566496,0.180845,1,1,0.766044,-0.642788,-0.836698,-0.547665,5.85854,1.90956,7.7681
32,1,580.621,135.361,0.0998539,-0.181252,0.206938,0.323389,0,0,1.56273,0.390684,0,0.371267,0.281453,1,1,0.173648,-0.984808,0.983245,0.182288,5.96876,0.467839,6.4366
33,1,243.503,631.865,-0.138139,-0.0453256,0.145385,0.252583,0,0,1.73733,0.434333,0,0.319979,0.318067,1,1,-0.939693,-0.34202,0.415451,-0.909616,0.57856,0.124748,0.703308
