ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,244.354,194.378,0.185345,-0.135218,0.229427,0.299566,0,0,1.30571,0.326429,0,0.453698,0.232493,1,1,0.939693,-0.34202,-0.841517,-0.54023,7.98249,0.349407,8.33189
1,0
2,0
3,0
4,1,597.674,514.844,0.00416721,0.347925,0.34795,0.507613,0,0,1.45887,0.364717,0,0.403585,0.260931,1,1,0.34202,0.939693,-0.993446,-0.114306,2.93065,0.427101,3.35775
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,1,417.746,181.168,-0.186514,0.131744,0.228351,0.42348,0,0,1.85451,0.463628,0,0.287695,0.344007,1,1,-0.939693,0.34202,0.999379,0.0352261,0.733571,0.982974,1.71654
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,1,516.693,629.596,0.0764677,-0.0466593,0.089579,0.172265,0,0,1.92305,0.480762,0,0.269608,0.359634,1,1,0.939693,-0.34202,-0.585695,-0.810531,1.26843,0.140587,1.40902
23,0
24,0
25,0
26,1,601.564,531.301,0.0072565,0.157449,0.157616,0.290085,0,0,1.84045,0.460113,0,0.291478,0.340841,1,1,0.34202,0.939693,0.99207,0.125689,0.12158,0.337464,0.459044
27,0
28,0
29,0
30,0
31,1,338.702,230.62,-0.0872128,0.0571157,0.104251,0.176937,0,0,1.69722,0.424305,0,0.331425,0.309431,1,1,-0.939693,0.34202,0.997201,0.0747706,6.77425,0.160743,6.93499
32,0
33,0
34,0
35,0
36,0
37,1,553.643,347.928,0.063994,0.0623835,0.0893696,0.169858,0,0,1.90062,0.475156,0,0.275462,0.354486,1,1,0.173648,0.984808,-0.146924,-0.989148,0.766346,0.211547,0.977892
38,0
39,0
40,0
41,0
42,1,518.686,383.314,-0.021094,-0.106616,0.108683,0.219543,0,0,2.02003,0.505008,0,0.245017,0.38226,1,1,0.34202,-0.939693,-0.997721,0.0674694,5.45306,0.455175,5.90824
43,0
44,0
45,0
