ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
0,1,208.238,304.879,0.203749,-0.050486,0.209911,0.344967,0,0,1.64339,0.410849,0,0.347099,0.298049,1,1,1,0,0.290446,-0.956891,4.425,0.478807,4.90381
1,1,315.536,690.9,0.140379,0.46796,0.488562,0.509558,0,0,1.04297,0.260744,0,0.5465,0.188923,1,1,0.34202,0.939693,-0.567032,-0.823696,8.54982,0.682406,9.23223
2,1,148.611,669.078,0.0260049,0.210884,0.212481,0.336178,0,0,1.58216,0.395539,0,0.365373,0.285398,1,1,0.34202,0.939693,-0.856918,-0.515454,2.04945,0.296411,2.34586
3,0
4,1,497.005,442.71,0.846612,0.21679,0.873928,0.57772,0,0,0.661062,0.165265,0,0.696782,0.137177,1,1,0.939693,0.34202,0.990038,0.140801,1.31963,0.217452,1.53708
5,1,161.579,675.518,-1.12126,0.267103,1.15264,0.531155,0,0,0.460816,0.115204,0,0.782864,0.11515,1,1,-0.939693,0.34202,-0.732043,-0.681258,1.00143,0.357432,1.35887
6,1,575.274,775.489,-0.200722,-1.07473,1.09331,0.334653,0,0,0.30609,0.0765226,0,0.852811,0.100299,1,1,1.19249e-08,-1,-0.658325,0.752733,0.769385,0.353199,1.12258
7,0
8,1,254.675,189.815,-0.127094,-0.221416,0.2553,0.411078,0,0,1.61018,0.402544,0,0.356953,0.291146,1,1,-0.34202,-0.939693,0.430211,0.902729,0.495489,0.27536,0.770849
9,1,355.531,194.535,-0.547275,0.132329,0.563046,0.346001,0,0,0.614516,0.153629,0,0.716344,0.13176,1,1,-0.939693,0.34202,0.349693,-0.936864,4.42759,0.317097,4.74468
10,1,531.845,186.687,0.0657942,0.201983,0.212429,0.22314,0,0,1.05042,0.262605,0,0.543752,0.190066,1,1,0.5,0.866025,-0.928481,-0.371379,5.60003,0.231247,5.83127
11,1,602.54,333.487,0.0930672,0.101581,0.137769,0.228944,0,0,1.6618,0.415451,0,0.341698,0.301915,1,1,0.34202,0.939693,0.523208,-0.852205,5.25721,0.591942,5.84916
12,1,160.137,620.622,-0.58336,-0.0968551,0.591346,0.63073,0,0,1.0666,0.26665,0,0.537802,0.19257,1,1,-0.939693,-0.34202,-0.498006,0.867174,4.66039,0.174107,4.8345
13,1,99.3726,403.389,-0.329607,0.0156752,0.329979,0.465745,0,0,1.41144,0.352859,0,0.418791,0.251889,1,1,-0.939693,0.34202,-0.320284,-0.947322,1.74088,0.32239,2.06327
14,1,502.65,189.449,-0.118756,-0.847326,0.855608,0.31685,0,0,0.370322,0.0925805,0,0.82341,0.106246,1,1,-0.173648,-0.984808,-0.293445,0.955976,1.24239,0.255926,1.49832
15,1,250.867,203.554,-0.0143383,-0.372379,0.372655,0.612752,0,0,1.64429,0.411072,0,0.346836,0.298236,1,1,-0.34202,-0.939693,0.633622,-0.773643,1.58273,0.007213,1.58994
16,0
17,1,405.113,88.549,0.005654,-0.253317,0.25338,0.378785,0,0,1.49493,0.373732,0,0.392211,0.267946,1,1,0.34202,-0.939693,-0.958617,-0.284699,5.0424,0.633912,5.67631
18,1,157.438,534.624,-0.434957,0.0348835,0.436354,0.544361,0,0,1.24752,0.31188,0,0.473509,0.222271,1,1,-0.939693,0.34202,-0.121142,-0.992635,7.59863,0.578313,8.17694
19,1,557.61,345.899,0.0953423,-0.222566,0.242127,0.40846,0,0,1.68696,0.421741,0,0.334383,0.307244,1,1,0.173648,-0.984808,0.996487,0.0837505,0.840462,0.542005,1.38247
20,1,540.018,193.131,0.189247,0.100442,0.21425,0.298363,0,0,1.39259,0.348147,0,0.424912,0.248354,1,1,0.984808,0.173648,-0.944656,0.328063,6.00738,1.16754,7.17492
21,1,311.246,295.365,-0.567349,-0.229119,0.611867,0.439686,0,0,0.718599,0.17965,0,0.672975,0.14413,1,1,-0.866025,-0.5,0.591143,0.806567,4.2154,0.587784,4.80318
22,1,428.892,618.798,-0.323247,0.983663,1.03541,0.404764,0,0,0.39092,0.0977299,0,0.814091,0.108217,1,1,-0.173648,0.984808,-0.960821,-0.277171,1.35273,0.506325,1.85906
23,1,560.581,372.508,0.112103,-0.36565,0.382448,0.393278,0,0,1.02832,0.257079,0,0.551932,0.186687,1,1,-0.173648,-0.984808,-0.667353,-0.744742,4.20217,0.950814,5.15299
24,1,480.301,714.056,-0.108622,0.541258,0.55205,0.417806,0,0,0.756827,0.189207,0,0.657386,0.14891,1,1,-0.5,0.866025,0.890312,-0.455351,2.90036,0.525908,3.42627
25,1,244.741,630.012,-0.139636,-0.0584781,0.151387,0.182695,0,0,1.20681,0.301702,0,0.48762,0.215313,1,1,-0.984808,-0.173648,0.567576,-0.823321,4.956,0.451925,5.40792
26,1,508.837,506.69,0.700641,0.193295,0.726816,0.598338,0,0,0.823233,0.205808,0,0.630741,0.157524,1,1,0.984808,0.173648,0.526597,0.850115,3.19848,0.805661,4.00414
27,0
28,1,582.645,832.776,0.32412,0.0917615,0.336859,0.473279,0,0,1.40498,0.351244,0,0.420884,0.250673,1,1,0.939693,0.34202,-0.983423,-0.181328,1.09448,0.944849,2.03933
29,1,511.478,644.739,0.0847483,-0.295216,0.30714,0.283008,0,0,0.921431,0.230358,0,0.592349,0.170998,1,1,0.34202,-0.939693,-0.824821,0.565394,3.00908,1.52135,4.53043
30,1,606.077,223.39,0.0543142,-0.273513,0.278854,0.35661,0,0,1.27884,0.319711,0,0.462793,0.227733,1,1,-0.34202,-0.939693,0.237002,0.971509,6.94421,0.69348,7.63769
31,1,389.102,333.074,-0.161976,-0.221334,0.274272,0.359095,0,0,1.30926,0.327316,0,0.452504,0.233127,1,1,-0.34202,-0.939693,-0.578211,0.815888,6.99686,0.095661,7.09252
32,1,544.017,151.722,0.665823,0.118038,0.676205,0.548361,0,0,0.810939,0.202735,0,0.635632,0.155899,1,1,0.939693,0.34202,-0.0754879,-0.997147,5.56899,0.761017,6.33001
33,1,271.396,635.495,-0.543842,-0.0917852,0.551533,0.453152,0,0,0.821623,0.205406,0,0.63138,0.157311,1,1,-0.939693,-0.34202,0.130286,0.991477,2.19272,0.575017,2.76774
34,1,300.015,289.902,-0.048034,-0.13086,0.139397,0.257653,0,0,1.84834,0.462085,0,0.289353,0.342615,1,1,-0.173648,-0.984808,-0.924187,-0.381941,1.8351,0.21803,2.05313
35,1,265.381,289.796,0.371669,-1.03521,1.0999,0.248604,0,0,0.226024,0.056506,0,0.890181,0.0933013,1,1,0.34202,-0.939693,0.970012,-0.243055,0.392613,0.321268,0.713881
