ID,State,Px,Py,Vx,Vy,Speed,Flow,Ax,Ay,Density,Exit_coe,Slope,V_P,W_P,Vg,Vl,Vg_x,Vg_y,Vl_x,Vl_y,Pressure,Friction,Pressure_Sum
33,1,260.802,634.527,-0.356118,0.00279712,0.356129,0.567642,0,0,1.59392,0.39848,0,0.361826,0.287803,1,1,-0.939693,-0.34202,0.467278,0.88411,1.83371,0.254696,2.08841
34,1,300.705,286.297,-0.0550465,-0.0632238,0.0838294,0.154652,0,0,1.84485,0.461212,0,0.290292,0.34183,1,1,-0.5,-0.866025,-0.947488,0.319791,1.96656,0.164915,2.13148
35,1,267.996,273.495,-0.135269,-0.730926,0.743337,0.532183,0,0,0.715937,0.178984,0,0.674067,0.143802,1,1,-0.34202,-0.939693,0.999985,-0.00545646,5.17021,0.902752,6.07296
36,1,411.171,180.678,0.0179649,0.23609,0.236773,0.300412,0,0,1.26878,0.317194,0,0.466224,0.225967,1,1,0.173648,0.984808,-0.383243,-0.923648,8.18354,0.767116,8.95066
37,1,497.707,393.436,0.576586,-0.044249,0.578281,0.656446,0,0,1.13517,0.283792,0,0.512954,0.203456,1,1,0.939693,-0.34202,-0.191073,0.981576,1.85602,0.651995,2.50802
38,1,201.8,586.912,-0.522244,0.320527,0.612761,0.428725,0,0,0.699661,0.174915,0,0.680765,0.14181,1,1,-0.939693,0.34202,-0.594343,-0.804211,1.06646,0.388322,1.45479
39,1,575.024,128.347,0.281961,-0.00443981,0.281996,0.430613,0,0,1.52702,0.381755,0,0.382227,0.274287,1,1,0.939693,0.34202,-0.195797,-0.980644,4.72226,0.323939,5.0462
40,1,174.829,675.157,-0.588222,-0.0659044,0.591902,0.622767,0,0,1.05214,0.263036,0,0.543116,0.190332,1,1,-0.939693,-0.34202,0.169803,0.985478,4.47531,0.313484,4.78879
41,1,536.186,549.859,1.30527,0.451849,1.38127,0.125117,0,0,0.0905814,0.0226454,0,0.955222,0.0824573,1,1,0.866025,0.5,0.584253,-0.811572,0.107807,0,0.107807
42,1,479.633,400.792,0.0352249,-0.122831,0.127782,0.215587,0,0,1.68715,0.421787,0,0.33433,0.307283,1,1,-0.173648,-0.984808,0.952991,0.302999,3.98676,0.635231,4.62199
43,1,194.957,438.22,-0.76914,0.00533217,0.769159,0.644856,0,0,0.838391,0.209598,0,0.624736,0.159546,1,1,-0.984808,-0.173648,-0.49065,0.871357,1.01115,0.543904,1.55506
44,0
45,1,546.711,619.673,0.0380611,-0.134279,0.139569,0.214455,0,0,1.53655,0.384138,0,0.379286,0.276189,1,1,0.642788,-0.766044,-0.9471,0.320938,4.62624,0.416043,5.04228
46,1,455.445,467.039,0.0693834,-0.00727681,0.0697639,0.133473,0,0,1.91321,0.478303,0,0.272168,0.357372,1,1,0.939693,-0.34202,-0.390929,0.920421,2.98652,0.206054,3.19257
47,1,345.183,330.067,0.0352733,-0.249652,0.252131,0.405387,0,0,1.60784,0.40196,0,0.357652,0.290664,1,1,1.19249e-08,-1,0.777687,-0.628651,4.73617,0.189867,4.92604
48,1,554.962,154.746,0.622901,-0.182044,0.648957,0.472321,0,0,0.727816,0.181954,0,0.669199,0.145271,1,1,0.766044,-0.642788,0.166742,0.986,5.02519,0.90617,5.93136
49,1,242.401,394.305,-0.412445,-0.0907199,0.422305,0.439232,0,0,1.04008,0.260021,0,0.547569,0.18848,1,1,-0.984808,-0.173648,0.316093,-0.948728,2.91548,0.421618,3.33709
50,1,256.19,637.044,-0.257193,-0.15776,0.301722,0.368323,0,0,1.22074,0.305184,0,0.482769,0.217675,1,1,-0.939693,-0.34202,0.910776,0.4129,7.37749,0.388684,7.76617
51,1,214.241,432.515,-0.145116,0.286053,0.320757,0.337814,0,0,1.05318,0.263295,0,0.542735,0.190491,1,1,-0.34202,0.939693,-0.495164,-0.868799,5.6744,0.717902,6.3923
52,1,601.274,174.118,0.111466,-0.0957284,0.14693,0.206156,0,0,1.40309,0.350771,0,0.421498,0.250318,1,1,0.939693,-0.34202,-0.552973,-0.833199,5.72782,0.525785,6.2536
53,1,438.496,439.211,0.283345,-0.0860848,0.296133,0.41861,0,0,1.41359,0.353397,0,0.418096,0.252294,1,1,1,0,0.152354,-0.988326,3.4132,0.957824,4.37102
54,1,589.71,754.513,1.14226,-0.212343,1.16183,0.310135,0,0,0.266937,0.0667342,0,0.870985,0.0968205,1,1,0.984808,-0.173648,-0.923342,0.38398,0.208667,0.251527,0.460194
55,1,432.107,440.908,0.453088,-0.0433044,0.455153,0.517854,0,0,1.13776,0.28444,0,0.512027,0.203876,1,1,0.939693,-0.34202,0.289441,0.957196,6.42153,0.514769,6.9363
56,1,296.694,292.023,0.0241183,-0.0748778,0.0786662,0.14763,0,0,1.87666,0.469166,0,0.281785,0.349023,1,1,0.34202,-0.939693,-0.241816,0.970322,2.55483,0.251868,2.8067
57,1,549.471,128.308,0.442232,-0.111771,0.456138,0.425395,0,0,0.9326,0.23315,0,0.588059,0.172587,1,1,0.939693,-0.34202,-0.0552867,0.99847,4.51675,0.764737,5.28149
58,1,591.13,640.869,0.0250406,-0.39535,0.396142,0.564251,0,0,1.42437,0.356091,0,0.414618,0.254333,1,1,0.34202,-0.939693,-0.786406,-0.61771,3.98726,0.39426,4.38152
59,1,239.72,340.817,-0.202273,-0.340724,0.396242,0.443067,0,0,1.11817,0.279543,0,0.519058,0.200716,1,1,-0.34202,-0.939693,-0.380182,0.924912,8.31876,0.742142,9.0609
60,1,549.185,286.088,0.90764,-0.176592,0.92466,0.669784,0,0,0.724358,0.181089,0,0.670614,0.144842,1,1,0.939693,-0.34202,0.0218642,0.999761,2.50978,0.806082,3.31586
61,1,384.01,325.124,-0.0448038,0.135948,0.14314,0.223863,0,0,1.56394,0.390985,0,0.370899,0.281697,1,1,-0.173648,0.984808,0.0527687,-0.998607,8.15922,1.73068,9.8899
62,1,332.736,695.86,0.238314,0.00925999,0.238494,0.3416,0,0,1.43232,0.358081,0,0.41206,0.255845,1,1,0.939693,0.34202,0.175476,-0.984484,5.75102,0.38746,6.13848
63,0
64,1,561.534,280.986,0.414483,-0.274307,0.497032,0.414184,0,0,0.833315,0.208329,0,0.626743,0.158867,1,1,0.939693,-0.34202,0.12406,-0.992275,3.40847,0.0420881,3.45055
65,1,232.952,515.353,-0.111397,0.185547,0.216419,0.324684,0,0,1.50026,0.375065,0,0.390543,0.268993,1,1,-0.173648,0.984808,-0.840316,-0.542096,4.05938,0.96956,5.02894
66,1,354.529,199.219,-0.201095,-0.235359,0.30957,0.462561,0,0,1.49421,0.373552,0,0.392438,0.267804,1,1,-0.34202,-0.939693,-0.802477,0.596684,3.8842,0.399558,4.28376
67,1,332.156,733.903,-0.0634226,0.220007,0.228967,0.240477,0,0,1.05027,0.262567,0,0.543807,0.190043,1,1,-0.173648,0.984808,-0.171622,-0.985163,2.74412,2.06469,4.80881
68,1,346.423,721.753,-0.0623194,0.360586,0.365932,0.394354,0,0,1.07767,0.269417,0,0.533751,0.194297,1,1,-0.173648,0.984808,-0.785037,-0.619448,6.9339,0.577635,7.51154
69,1,291.919,377.988,-0.339195,-0.0731923,0.347002,0.556841,0,0,1.60472,0.40118,0,0.358585,0.290021,1,1,-0.939693,-0.34202,-0.974592,0.223986,0.335486,0.514063,0.849549
70,1,381.311,405.607,0.233114,-1.2477,1.26929,0.270634,0,0,0.213216,0.053304,0,0.896233,0.0922235,1,1,0.34202,-0.939693,-0.960869,0.277003,0.212978,0.165963,0.378941
71,1,578.571,255.134,-0.113228,-0.140273,0.18027,0.25479,0,0,1.41338,0.353345,0,0.418162,0.252256,1,1,-0.34202,-0.939693,-0.619775,0.78478,5.62793,0.827789,6.45572
72,1,475.174,386.389,0.0711718,0.131842,0.149825,0.281514,0,0,1.87895,0.469737,0,0.281179,0.349542,1,1,0.34202,0.939693,-0.0713796,-0.997449,1.39622,0.332965,1.72919
73,1,274.632,352.474,0.303798,-1.21549,1.25288,0.23267,0,0,0.185708,0.046427,0,0.909301,0.0899462,1,1,0.34202,-0.939693,-0.988344,-0.152239,0.286845,0,0.286845
74,1,446.822,488.36,0.345569,-0.998397,1.05651,0.391941,0,0,0.370977,0.0927443,0,0.823113,0.106308,1,1,0.34202,-0.939693,0.926052,-0.377397,0.446271,0.229666,0.675937
75,1,265.538,262.846,-0.134042,-0.259712,0.292263,0.439906,0,0,1.50517,0.376293,0,0.389011,0.269959,1,1,-0.173648,-0.984808,-0.993984,-0.109522,3.82313,0.818295,4.64142
76,1,454.551,471.999,0.0471773,-0.153126,0.160229,0.263476,0,0,1.64437,0.411093,0,0.346812,0.298253,1,1,0.34202,-0.939693,-0.633905,0.773411,5.46861,0.940134,6.40875
77,1,223.968,627.091,-0.248588,-0.182853,0.308595,0.424033,0,0,1.37408,0.343519,0,0.430968,0.244914,1,1,-0.939693,-0.34202,0.969101,-0.246665,1.56459,0.947178,2.51177
78,0
79,1,578.077,545.237,0.255963,0.0527107,0.261334,0.347578,0,0,1.33001,0.332503,0,0.445552,0.236857,1,1,1,0,0.652416,0.757861,3.11545,1.72563,4.84107
80,1,293.76,279.955,-0.279547,0.00822913,0.279668,0.479892,0,0,1.71593,0.428984,0,0.32606,0.313444,1,1,-0.939693,-0.34202,0.021287,0.999773,2.04326,0.0654452,2.10871
81,1,339.361,566.233,-0.525479,-0.0643504,0.529404,0.580411,0,0,1.09635,0.274087,0,0.52695,0.197237,1,1,-0.984808,-0.173648,-0.0177853,0.999842,5.53515,0.360061,5.89522
82,1,476.003,570.043,-0.00890758,-0.318703,0.318828,0.31827,0,0,0.99825,0.249562,0,0.563157,0.182165,1,1,-0.173648,-0.984808,0.342481,0.939525,6.72524,1.98678,8.71202
83,1,218.486,278.268,0.00727195,-0.111526,0.111763,0.191756,0,0,1.71575,0.428937,0,0.326113,0.313404,1,1,0.34202,-0.939693,-0.99791,-0.06462,2.18757,0.0750595,2.26263
84,1,316.922,221.401,0.451794,-0.231718,0.507751,0.568033,0,0,1.11872,0.279681,0,0.51886,0.200804,1,1,0.939693,-0.34202,-0.996691,0.0812861,4.14966,0.424892,4.57455
85,1,330.127,199.793,-0.120188,0.0209347,0.121997,0.191849,0,0,1.57257,0.393142,0,0.368276,0.283446,1,1,-0.984808,-0.173648,0.265248,0.96418,1.81028,0.681542,2.49182
86,1,589.096,657.805,0.150708,-0.296233,0.332366,0.413193,0,0,1.24319,0.310797,0,0.475001,0.221523,1,1,0.173648,-0.984808,0.926231,0.376957,1.65166,1.15534,2.807
87,1,596.198,767.968,0.149051,-0.245271,0.287009,0.235258,0,0,0.819689,0.204922,0,0.632149,0.157054,1,1,0.34202,-0.939693,0.0535308,0.998566,6.57359,0.623317,7.1969
88,1,583.958,472.697,0.100061,0.243975,0.263697,0.360583,0,0,1.36741,0.341853,0,0.433157,0.243684,1,1,0.766044,0.642788,-0.999971,-0.00759212,7.46814,0.811217,8.27936
89,1,102.067,451.611,-0.283822,-1.22307,1.25557,0.258262,0,0,0.205694,0.0514235,0,0.899797,0.0915956,1,1,-0.34202,-0.939693,0.999815,-0.0192443,0.0684029,0,0.0684029
90,1,201.425,307.73,-0.0354558,-0.158503,0.16242,0.269552,0,0,1.65959,0.414898,0,0.342344,0.301449,1,1,-0.766044,-0.642788,0.861781,0.50728,7.84471,0.799044,8.64375
91,1,321.769,219.82,0.139643,-0.0714849,0.156876,0.299182,0,0,1.90712,0.47678,0,0.273759,0.355975,1,1,0.939693,-0.34202,-0.838459,-0.544964,2.76246,0.121499,2.88396
92,1,368.344,309.123,0.0468958,-0.465414,0.46777,0.324767,0,0,0.694287,0.173572,0,0.682984,0.141157,1,1,0.34202,-0.939693,-0.958046,-0.286614,1.4024,0.594018,1.99642
93,0
94,1,602.877,212.715,0.540381,0.310244,0.623108,0.612969,0,0,0.983728,0.245932,0,0.568618,0.180011,1,1,0.939693,0.34202,-0.837705,0.546123,6.31368,1.43626,7.74994
95,1,473.009,573.533,-0.0758112,0.592013,0.596847,0.414358,0,0,0.694246,0.173561,0,0.683001,0.141152,1,1,0.34202,0.939693,-0.496334,-0.868132,2.74624,0.182469,2.92871
96,1,589.65,484.011,0.311457,1.00609,1.0532,0.64025,0,0,0.60791,0.151977,0,0.719142,0.131006,1,1,0.34202,0.939693,-0.904171,-0.42717,0.980216,1.33184,2.31206
97,1,228.724,282.17,0.0482472,-0.100592,0.111564,0.215025,0,0,1.92737,0.481843,0,0.268487,0.36063,1,1,0.34202,-0.939693,0.773475,-0.633827,1.08467,0.12853,1.2132
98,1,530.879,268.315,0.261027,-0.093957,0.277422,0.359611,0,0,1.29626,0.324065,0,0.456888,0.230811,1,1,0.939693,-0.34202,-0.945184,0.326539,6.04668,0.524529,6.57121
99,1,403.655,491.582,0.00958913,-0.248981,0.249165,0.438567,0,0,1.76014,0.440036,0,0.31356,0.323035,1,1,0.34202,-0.939693,-0.849629,-0.52738,1.15552,0.660645,1.81616
100,1,411.423,191.441,-0.0951975,-0.196697,0.218523,0.313854,0,0,1.43625,0.359062,0,0.410801,0.256593,1,1,-0.34202,-0.939693,0.00925705,0.999957,4.94153,1.3205,6.26202
101,1,577.62,504.69,0.408554,0.0701779,0.414538,0.229998,0,0,0.55483,0.138708,0,0.741825,0.125081,1,1,1,0,-0.938556,0.345128,1.83404,1.981,3.81504
102,1,441.416,388.2,0.0799331,-0.0105656,0.0806283,0.146835,0,0,1.82114,0.455284,0,0.296715,0.336515,1,1,0.939693,-0.34202,-0.00137821,0.999999,2.01015,0.0546034,2.06476
103,0
104,1,496.27,648.896,0.0442984,0.321702,0.324738,0.313339,0,0,0.964897,0.241224,0,0.575741,0.177248,1,1,0.34202,0.939693,0.130702,-0.991422,6.89398,0.95925,7.85323
105,1,478.669,645.364,0.498682,0.113451,0.511424,0.567171,0,0,1.109,0.27725,0,0.522367,0.199248,1,1,0.939693,0.34202,-0.477089,-0.878855,4.77772,0.307997,5.08572
106,1,259.77,632,-0.0610974,0.123968,0.138207,0.212471,0,0,1.53734,0.384335,0,0.379043,0.276346,1,1,-0.173648,0.984808,-0.899776,-0.436353,5.18117,0.191996,5.37317
107,0
108,1,627.291,130.442,0.339296,-0.0387093,0.341497,0.543185,0,0,1.5906,0.39765,0,0.362825,0.287123,1,1,0.984808,-0.173648,0.191425,0.981507,1.43907,0.299818,1.73889
109,1,459.59,471.014,0.066747,-0.121905,0.138982,0.14314,0,0,1.02992,0.25748,0,0.551337,0.18693,1,1,0.34202,-0.939693,0.049496,0.998774,7.08636,0.0728713,7.15923
110,1,163.945,592.002,-0.273791,-0.0331011,0.275784,0.32919,0,0,1.19365,0.298413,0,0.492225,0.213098,1,1,-1,1.50996e-07,-0.999376,0.0353092,0.517698,0.360492,0.87819
111,1,242.125,203.51,0.0654676,0.0793097,0.10284,0.178547,0,0,1.73616,0.434041,0,0.32031,0.317814,1,1,0.173648,0.984808,0.210029,-0.977695,3.19871,0.724181,3.92289
112,1,221.508,627.46,-0.391917,-0.0296124,0.393034,0.589707,0,0,1.5004,0.3751,0,0.390501,0.26902,1,1,-0.939693,-0.34202,0.250686,0.968068,1.32581,0.308847,1.63466
113,1,633.842,203.453,0.885446,-0.44512,0.991033,0.732464,0,0,0.739091,0.184773,0,0.664595,0.146677,1,1,0.939693,-0.34202,-0.88084,-0.473414,3.37199,0.500671,3.87266
114,1,375.408,665.252,0.122472,0.399642,0.417987,0.352514,0,0,0.84336,0.21084,0,0.622774,0.160214,1,1,0.34202,0.939693,-0.536533,-0.843879,6.79589,0.666719,7.46261
115,1,254.261,214.707,-0.0204296,-0.164694,0.165956,0.229686,0,0,1.38401,0.346003,0,0.427712,0.246756,1,1,-0.34202,-0.939693,0.88534,0.464945,3.35251,1.58843,4.94094
116,1,451.554,478.973,0.271061,-0.41713,0.497465,0.538699,0,0,1.08289,0.270722,0,0.531846,0.195115,1,1,0.34202,-0.939693,0.985213,-0.171335,4.81183,0.100773,4.9126
117,1,256.977,635.457,-0.333115,-0.0330938,0.334754,0.546055,0,0,1.63121,0.407802,0,0.350698,0.295506,1,1,-0.939693,-0.34202,0.714623,0.69951,4.53151,0.263131,4.79465
118,1,238.447,743.914,0.00603382,-0.172691,0.172796,0.279609,0,0,1.61814,0.404535,0,0.354578,0.292793,1,1,-0.34202,-0.939693,0.933836,0.357701,7.8143,0.213211,8.02751
119,1,548.467,286.426,0.950316,-0.235249,0.979001,0.522576,0,0,0.533785,0.133446,0,0.750915,0.122796,1,1,0.939693,-0.34202,-0.275259,0.96137,2.31564,0.581466,2.8971
120,1,570.75,694.789,1.11234,-0.301091,1.15237,0.448381,0,0,0.389094,0.0972735,0,0.814915,0.108041,1,1,0.984808,-0.173648,-0.8482,-0.529677,0.423862,0.589883,1.01374
121,1,209.495,213.596,0.316327,0.00943299,0.316467,0.435156,0,0,1.37504,0.34376,0,0.43065,0.245093,1,1,0.939693,0.34202,-0.16025,-0.987077,4.52772,0.255436,4.78315
122,1,330.782,743.868,-0.23601,0.322389,0.399544,0.51391,0,0,1.28624,0.32156,0,0.46028,0.229037,1,1,-0.34202,0.939693,-0.648277,-0.761405,1.39355,0.770189,2.16373
123,0
