step,time,alive
0,0,49395
1,1,49338
2,2,49221
3,3,49108
4,4,48988
5,5,48877
6,6,48782
7,7,48668
8,8,48567
9,9,48468
10,10,48377
11,11,48277
12,12,48191
13,13,48108
14,14,48028
15,15,47949
16,16,47874
17,17,47797
18,18,47730
19,19,47663
20,20,47591
21,21,47520
22,22,47449
23,23,47390
24,24,47320
25,25,47253
26,26,47189
27,27,47126
28,28,47060
29,29,46998
30,30,46942
31,31,46866
32,32,46811
33,33,46740
34,34,46674
35,35,46611
36,36,46539
37,37,46479
38,38,46407
39,39,46343
40,40,46276
41,41,46204
42,42,46132
43,43,46059
44,44,45989
45,45,45923
46,46,45852
47,47,45772
48,48,45709
49,49,45634
50,50,45565
51,51,45493
52,52,45421
53,53,45351
54,54,45277
55,55,45202
56,56,45125
57,57,45048
58,58,44981
59,59,44901
60,60,44830
61,61,44759
62,62,44677
63,63,44603
64,64,44538
65,65,44458
66,66,44379
67,67,44311
68,68,44229
69,69,44158
70,70,44089
71,71,44013
72,72,43934
73,73,43870
74,74,43787
75,75,43715
76,76,43640
77,77,43568
78,78,43494
79,79,43418
80,80,43344
81,81,43275
82,82,43197
83,83,43131
84,84,43054
85,85,42980
86,86,42906
87,87,42829
88,88,42762
89,89,42679
90,90,42616
91,91,42538
92,92,42462
93,93,42390
94,94,42316
95,95,42242
96,96,42167
97,97,42096
98,98,42018
99,99,41947
100,100,41869
101,101,41805
102,102,41725
103,103,41661
104,104,41583
105,105,41526
106,106,41439
107,107,41371
108,108,41301
109,109,41233
110,110,41164
111,111,41092
112,112,41020
113,113,40951
114,114,40880
115,115,40808
116,116,40741
117,117,40671
118,118,40612
119,119,40531
120,120,40472
121,121,40393
122,122,40327
123,123,40262
124,124,40189
125,125,40126
126,126,40057
127,127,39992
128,128,39918
129,129,39854
130,130,39778
131,131,39722
132,132,39653
133,133,39588
134,134,39526
135,135,39456
136,136,39393
137,137,39324
138,138,39261
139,139,39198
140,140,39136
141,141,39066
142,142,39001
143,143,38939
144,144,38880
145,145,38815
146,146,38753
147,147,38688
148,148,38632
149,149,38566
150,150,38507
151,151,38450
152,152,38382
153,153,38322
154,154,38261
155,155,38196
156,156,38133
157,157,38073
158,158,38010
159,159,37957
160,160,37892
161,161,37829
162,162,37772
163,163,37714
164,164,37652
165,165,37589
166,166,37532
167,167,37466
168,168,37409
169,169,37352
170,170,37287
171,171,37228
172,172,37168
173,173,37104
174,174,37042
175,175,36986
176,176,36927
177,177,36865
178,178,36800
179,179,36747
180,180,36685
181,181,36624
182,182,36571
183,183,36504
184,184,36460
185,185,36392
186,186,36335
187,187,36282
188,188,36221
189,189,36162
190,190,36108
191,191,36047
192,192,35983
193,193,35931
194,194,35872
195,195,35813
196,196,35753
197,197,35693
198,198,35634
199,199,35586
200,200,35520
201,201,35463
202,202,35404
203,203,35349
204,204,35293
205,205,35229
206,206,35172
207,207,35118
208,208,35057
209,209,35002
210,210,34944
211,211,34891
212,212,34828
213,213,34770
214,214,34716
215,215,34662
216,216,34605
217,217,34546
218,218,34491
219,219,34439
220,220,34377
221,221,34332
222,222,34273
223,223,34219
224,224,34164
225,225,34103
226,226,34051
227,227,34000
228,228,33937
229,229,33882
230,230,33827
231,231,33771
232,232,33713
233,233,33660
234,234,33609
235,235,33546
236,236,33494
237,237,33441
238,238,33385
239,239,33326
240,240,33272
241,241,33212
242,242,33159
243,243,33106
244,244,33045
245,245,32992
246,246,32940
247,247,32881
248,248,32825
249,249,32768
250,250,32712
251,251,32659
252,252,32599
253,253,32545
254,254,32493
255,255,32434
256,256,32383
257,257,32326
258,258,32270
259,259,32218
260,260,32166
261,261,32105
262,262,32054
263,263,31999
264,264,31945
265,265,31889
266,266,31832
267,267,31779
268,268,31728
269,269,31674
270,270,31626
271,271,31568
272,272,31520
273,273,31470
274,274,31416
275,275,31366
276,276,31316
277,277,31265
278,278,31216
279,279,31166
280,280,31115
281,281,31065
282,282,31012
283,283,30967
284,284,30910
285,285,30857
286,286,30810
287,287,30758
288,288,30709
289,289,30659
290,290,30617
291,291,30557
292,292,30512
293,293,30460
294,294,30409
295,295,30362
296,296,30311
297,297,30259
298,298,30206
299,299,30159
300,300,30116
301,301,30063
302,302,30015
303,303,29971
304,304,29918
305,305,29869
306,306,29827
307,307,29774
308,308,29726
309,309,29684
310,310,29631
311,311,29586
312,312,29539
313,313,29491
314,314,29442
315,315,29393
316,316,29352
317,317,29302
318,318,29248
319,319,29203
320,320,29155
321,321,29106
322,322,29059
323,323,29016
324,324,28971
325,325,28922
326,326,28872
327,327,28829
328,328,28781
329,329,28737
330,330,28690
331,331,28645
332,332,28596
333,333,28551
334,334,28500
335,335,28454
336,336,28408
337,337,28361
338,338,28315
339,339,28263
340,340,28220
341,341,28176
342,342,28130
343,343,28081
344,344,28036
345,345,27992
346,346,27946
347,347,27899
348,348,27846
349,349,27805
350,350,27758
351,351,27715
352,352,27665
353,353,27617
354,354,27573
355,355,27531
356,356,27479
357,357,27441
358,358,27388
359,359,27341
360,360,27295
361,361,27245
362,362,27196
363,363,27159
364,364,27107
365,365,27061
366,366,27014
367,367,26968
368,368,26926
369,369,26881
370,370,26833
371,371,26785
372,372,26741
373,373,26689
374,374,26648
375,375,26602
376,376,26556
377,377,26514
378,378,26471
379,379,26424
380,380,26382
381,381,26332
382,382,26288
383,383,26241
384,384,26200
385,385,26151
386,386,26111
387,387,26066
388,388,26020
389,389,25975
390,390,25938
391,391,25884
392,392,25840
393,393,25796
394,394,25753
395,395,25712
396,396,25668
397,397,25625
398,398,25582
399,399,25535
400,400,25499
401,401,25452
402,402,25413
403,403,25370
404,404,25327
405,405,25288
406,406,25250
407,407,25207
408,408,25170
409,409,25129
410,410,25090
411,411,25048
412,412,25007
413,413,24966
414,414,24926
415,415,24888
416,416,24842
417,417,24803
418,418,24767
419,419,24726
420,420,24683
421,421,24642
422,422,24611
423,423,24565
424,424,24526
425,425,24486
426,426,24448
427,427,24407
428,428,24366
429,429,24325
430,430,24285
431,431,24249
432,432,24209
433,433,24164
434,434,24127
435,435,24091
436,436,24046
437,437,24010
438,438,23974
439,439,23929
440,440,23893
441,441,23855
442,442,23808
443,443,23775
444,444,23736
445,445,23694
446,446,23653
447,447,23618
448,448,23576
449,449,23540
450,450,23500
451,451,23467
452,452,23425
453,453,23388
454,454,23348
455,455,23306
456,456,23265
457,457,23234
458,458,23191
459,459,23155
460,460,23115
461,461,23074
462,462,23034
463,463,22997
464,464,22961
465,465,22924
466,466,22885
467,467,22847
468,468,22809
469,469,22766
470,470,22732
471,471,22692
472,472,22651
473,473,22611
474,474,22570
475,475,22532
476,476,22493
477,477,22461
478,478,22423
479,479,22377
480,480,22343
481,481,22307
482,482,22265
483,483,22226
484,484,22192
485,485,22155
486,486,22118
487,487,22079
488,488,22044
489,489,22000
490,490,21965
491,491,21929
492,492,21892
493,493,21851
494,494,21819
495,495,21775
496,496,21740
497,497,21703
498,498,21660
499,499,21628
500,500,21586
501,501,21552
502,502,21516
503,503,21473
504,504,21434
505,505,21400
506,506,21362
507,507,21320
508,508,21282
509,509,21247
510,510,21210
511,511,21172
512,512,21139
513,513,21096
514,514,21065
515,515,21021
516,516,20985
517,517,20951
518,518,20910
519,519,20876
520,520,20836
521,521,20800
522,522,20766
523,523,20726
524,524,20690
525,525,20654
526,526,20616
527,527,20578
528,528,20542
529,529,20510
530,530,20466
531,531,20432
532,532,20394
533,533,20359
534,534,20322
535,535,20288
536,536,20246
537,537,20213
538,538,20180
539,539,20145
540,540,20101
541,541,20074
542,542,20032
543,543,19999
544,544,19964
545,545,19934
546,546,19897
547,547,19862
548,548,19827
549,549,19798
550,550,19763
551,551,19724
552,552,19691
553,553,19658
554,554,19623
555,555,19590
556,556,19557
557,557,19524
558,558,19492
559,559,19461
560,560,19425
561,561,19391
562,562,19356
563,563,19324
