seed,baseline_t50_s,optimized_t50_s,change_t50_s,improvement_pct_t50_s,baseline_t80_s,optimized_t80_s,change_t80_s,improvement_pct_t80_s,baseline_t95_s,optimized_t95_s,change_t95_s,improvement_pct_t95_s,baseline_normalized_person_time_to_95_s,optimized_normalized_person_time_to_95_s,change_normalized_person_time_to_95_s,improvement_pct_normalized_person_time_to_95_s
11,417.716,389.015,-28.701000000000022,6.870936234187827,963.512,804.951,-158.56099999999992,16.456567224902226,1933.38,1459.69,-473.69000000000005,24.500615502384427,586.471038,490.269744,-96.20129400000002,16.403417691019897
29,413.316,385.214,-28.101999999999975,6.799156093642631,945.516,791.354,-154.16199999999992,16.304536358982812,1909.38,1403.9,-505.48,26.47351496297227,579.575022,481.774801,-97.80022099999996,16.874471343245702
47,412.116,383.314,-28.801999999999964,6.988808976113512,947.916,783.756,-164.16000000000008,17.317990201663445,1886.69,1387.01,-499.68000000000006,26.484478107161223,575.31779,477.85798,-97.45980999999995,16.94016971037867
71,415.116,385.614,-29.50200000000001,7.1069291475153955,955.014,793.053,-161.961,16.959018401824476,1929.18,1426.7,-502.48,26.046299464020983,581.548965,484.29655799999995,-97.252407,16.722995457484824
101,415.816,386.514,-29.301999999999964,7.0468668834292005,947.916,787.255,-160.66100000000006,16.948864667333396,1907.48,1417.6,-489.8800000000001,25.68205171220669,578.752212,482.510466,-96.24174599999998,16.629179812102382
