crowd,wall_mean_s,wall_sd_s,repetitions
5000,6.55,0.0424264068711932,2
10000,7.484999999999999,0.07778174593052077,2
20000,9.89,0.21213203435596287,2
50000,22.115000000000002,0.38890872965260287,2
100000,51.325,0.36062445840514035,2
