Preference,Cost_proxy,Evac_score,Widths,Selected_segments
No intervention,0.0,1430.6109378164876,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",
Cost-priority,375.19,1269.76,"[0,0,2,0,0,0,0,0,0,0,0,0,2,0,0]","3,13"
Ideal-point compromise,747.52,1197.17,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13"
Evacuation-priority,1532.9,1155.65,"[0,0,4,0,0,0,0,0,0,0,2,0,4,4,0]","3,11,13,14"
Minimum evacuation score,3212.83,1123.11,"[2,2,4,0,2,0,2,0,4,0,4,0,4,4,2]","1,2,3,5,7,9,11,13,14,15"
beta=0.1 preference example,747.52,1197.17,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]","3,13"
