scenario,parameter,perturbation_pct,zero_evac_mean,zero_evac_sd,zero_change_mean_pct,zero_change_sd_pct,fixed_improvement_mean_pct,fixed_improvement_sd_pct,optimized_improvement_mean_pct,optimized_improvement_sd_pct,optimized_cost_mean,optimized_cost_sd,representative_seed,representative_cost,representative_improvement_pct,representative_plan,representative_width_vector_m,segment_jaccard_mean,segment_jaccard_sd,width_jaccard_mean,width_jaccard_sd
baseline,baseline,0,1430.3066378412598,14.767632156595036,0.0,0.0,15.12085325104723,0.3738728919268115,15.128633101474557,0.3707597917031832,747.52,0.0,11,747.52,15.034989110941762,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
k_m10,k,-10,1531.6774788647624,11.568399077808083,7.089383709771526,0.296242755980283,14.534830823426148,0.4367215890941265,14.560953775389706,0.4172380974999441,747.52,0.0,11,747.52,14.374115197507919,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
k_m5,k,-5,1478.2751661411705,13.02077311325498,3.3547962609934303,0.1559821494627718,14.847161863224528,0.4049727851568093,14.868763405430656,0.4196242210614754,747.52,0.0,11,747.52,14.756828332260136,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
k_p5,k,5,1385.9822510171089,13.89198797052652,-3.0986258084675717,0.18781986446528787,15.340651656897037,0.5827730942468736,15.34071473407603,0.5830389912333696,747.52,0.0,11,747.52,15.271114307488306,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
k_p10,k,10,1345.435808768136,10.848445981832546,-5.9322947744456265,0.21151647543982421,15.372507682115467,0.43229675532707523,15.377954573101485,0.44158046335198736,747.52,0.0,11,747.52,15.268109987988849,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
h_m10,h,-10,1259.958917107202,11.587117535786415,-11.908953217854474,0.2722924209766889,14.076732009127383,0.5804905687790469,14.076947954174784,0.580540271834494,747.52,0.0,11,747.52,13.979750633205965,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
h_m5,h,-5,1346.777391207406,12.480579982958304,-5.83859034769906,0.4526201005883434,14.89130662722188,0.69117562197342,14.959300483663087,0.7872464310394794,747.52,0.0,11,747.52,14.681135636082608,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
h_p5,h,5,1511.7618632845104,17.334878168407947,5.6941259052066755,0.12468279145811971,14.923858355797393,0.42697253476337116,14.924735937027167,0.4278777281504161,747.52,0.0,47,747.52,15.170709184608004,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
h_p10,h,10,1600.464617907799,16.937708414574757,11.896415669880222,0.05078115961004327,14.928914413626428,0.3505057162745451,14.981652363288672,0.3927675943839718,747.52,0.0,11,747.52,15.19991131898543,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
rho_m10,rho,-10,1663.4029955585086,10.63549183962487,16.300157494658336,0.48410400352524363,15.094604851944508,0.4683786495664658,15.094573570808398,0.4682032354323248,747.52,0.0,11,747.52,14.903133153088948,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
rho_m5,rho,-5,1533.0155156705432,12.566229024885372,7.182624909082882,0.3240692945895848,15.05114280080708,0.5554487123156516,15.051324939821022,0.555562728702536,747.52,0.0,11,747.52,14.919945783088535,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
rho_p5,rho,5,1344.2327126420541,10.3723676375111,-6.0160572858799455,0.31058056466900236,15.17386270975888,0.5827083165169488,15.236915718952268,0.6914299339623085,747.52,0.0,11,747.52,14.918596727306474,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
rho_p10,rho,10,1270.2993276509917,10.510316629195135,-11.185676516156883,0.18154217330535616,15.06569346191319,0.5319034492417638,15.06985408869375,0.5288095783836277,747.52,0.0,11,747.52,14.829792471881142,R3: +4 m; R13: +4 m,"[0,0,4,0,0,0,0,0,0,0,0,0,4,0,0]",1.0,0.0,1.0,0.0
