setting,population,crossover,mutation_per_gene,n_seeds,simulator_calls_per_seed,final_hv_mean,final_hv_sd,calls_to_95pct_hv_mean,calls_to_95pct_hv_sd,compromise_cost_proxy_mean,compromise_evac_mean,compromise_segment_jaccard
base,40,0.8,0.08,3,240,8834883.766666668,5112.195619626754,40.0,0.0,942.3233333333334,536.4366666666666,0.4777777777777778
cx060,40,0.6,0.08,3,240,8831359.633333333,10105.752970626812,40.0,0.0,1312.9466666666667,527.7033333333334,0.40277777777777773
cx095,40,0.95,0.08,3,240,8832662.633333333,6465.473305438169,40.0,0.0,1083.7766666666666,532.4166666666666,0.5
mut004,40,0.8,0.04,3,240,8834234.8,7695.457263217538,40.0,0.0,991.7233333333332,533.2800000000001,0.4944444444444444
mut016,40,0.8,0.16,3,240,8816530.0,6420.515769780493,40.0,0.0,1114.29,535.0066666666667,0.5095238095238095
pop20,20,0.8,0.08,3,240,8841604.399999999,8107.988627889908,20.0,0.0,735.5933333333332,535.94,0.6388888888888888
pop60,60,0.8,0.08,3,240,8801690.4,6640.140390835481,60.0,0.0,1020.9166666666666,539.1733333333333,0.27777777777777773
