batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4396859.9,6,1153.44,0.0
1,80,4567520.4,9,1149.31,0.0
2,120,4728124.4,13,1135.96,0.0
3,160,4783683.1,15,1132.99,0.0
4,200,4823210.5,15,1132.99,0.0
5,240,4925303.1,16,1130.95,0.0
