batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4511776.8,8,1131.68,0.0
1,80,4802483.2,10,1123.46,0.0
2,120,4862356.9,13,1123.46,0.0
3,160,4900299.7,19,1112.02,0.0
4,200,4936255.4,18,1112.02,0.0
5,240,4963510.8,20,1111.49,0.0
