cost,evac,widths
0.0,1420.95,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
783.16,1401.17,"[0,0,0,0,4,0,0,0,0,0,0,0,0,0,0]"
805.51,1391.35,"[0,0,0,0,2,0,0,0,0,0,2,0,0,0,2]"
822.27,1385.64,"[0,0,0,0,2,0,0,0,4,0,2,0,0,0,2]"
828.15,1298.47,"[0,0,2,0,0,0,0,0,0,2,2,0,0,0,2]"
1170.95,1263.55,"[0,0,0,2,0,0,2,0,0,0,2,0,4,0,2]"
1258.87,1251.71,"[0,0,0,0,0,0,2,0,0,0,2,0,4,2,2]"
1283.93,1236.3,"[0,0,4,0,0,2,2,0,0,0,0,0,2,0,2]"
1391.47,1220.21,"[0,2,4,2,0,0,0,0,4,0,0,2,2,0,0]"
1606.1,1197.43,"[0,0,2,0,0,2,2,0,0,0,2,0,4,2,0]"
1966.4,1171.73,"[0,0,4,0,0,2,2,0,0,0,2,0,4,2,2]"
1993.85,1167.67,"[0,0,4,0,2,2,0,0,0,0,0,0,4,4,0]"
2308.04,1164.38,"[0,0,4,4,0,0,2,0,0,0,2,2,4,2,2]"
2441.22,1158.13,"[2,0,4,4,0,2,4,0,2,0,2,0,4,0,0]"
2448.37,1156.56,"[2,2,4,0,0,2,2,0,2,0,2,0,4,2,0]"
2592.61,1153.74,"[0,2,4,2,2,0,2,0,0,4,0,0,4,2,0]"
2605.88,1152.32,"[0,2,4,2,4,0,0,0,0,0,0,2,4,2,0]"
3029.72,1141.16,"[2,4,4,4,0,0,2,0,0,0,0,0,4,4,2]"
3170.24,1139.19,"[0,2,4,2,2,0,0,0,0,0,2,4,4,4,2]"
3932.79,1122.01,"[2,4,4,4,2,2,2,0,4,2,2,0,4,2,2]"
4249.05,1121.95,"[4,2,4,2,2,4,0,0,0,0,2,2,4,4,4]"
4420.62,1111.82,"[4,2,4,2,2,2,4,0,2,0,2,2,4,4,4]"
