cost,evac,widths
0.0,1422.67,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
217.0,1320.41,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
347.46,1295.28,"[0,0,0,0,0,0,0,0,0,0,0,0,4,0,0]"
927.8,1290.45,"[0,2,2,0,2,0,0,0,0,0,0,0,0,0,0]"
939.59,1213.96,"[0,0,2,0,2,0,0,0,0,0,0,0,4,0,0]"
1554.29,1198.73,"[0,0,4,0,0,0,2,0,4,0,0,2,4,2,0]"
1940.74,1187.08,"[0,0,4,4,0,0,0,0,0,0,0,2,4,4,0]"
2085.72,1184.82,"[2,2,2,2,2,0,0,0,0,0,0,0,4,0,4]"
2282.88,1162.01,"[2,2,4,2,2,0,0,0,0,0,0,0,4,0,4]"
3087.68,1160.04,"[2,2,2,2,2,0,2,0,2,0,4,0,4,2,4]"
3189.03,1150.76,"[2,0,4,2,2,0,2,0,2,0,4,4,4,2,0]"
3564.2,1141.53,"[0,4,4,4,2,0,2,0,4,4,0,0,4,4,2]"
4543.33,1124.33,"[4,4,4,2,4,0,2,0,2,0,4,4,4,2,0]"
