cost,evac,widths
0.0,1420.36,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
310.33,1420.03,"[0,0,0,0,0,2,0,0,0,0,0,0,0,0,0]"
391.89,1385.76,"[0,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
400.06,1294.3,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
768.82,1273.39,"[0,0,4,4,0,0,0,0,0,0,0,0,0,0,0]"
789.3,1236.52,"[0,0,4,0,0,0,0,0,0,2,0,0,2,0,0]"
1045.88,1183.93,"[2,0,4,0,0,0,0,0,0,0,0,0,4,0,0]"
1452.27,1177.63,"[2,0,4,2,0,0,0,0,2,2,0,0,4,0,0]"
1948.87,1168.52,"[4,0,4,2,0,0,0,0,2,4,0,0,4,0,0]"
1987.96,1162.03,"[2,0,4,2,0,0,0,0,0,2,0,0,4,4,0]"
2293.07,1158.77,"[2,0,4,2,4,0,0,0,0,0,0,2,4,0,0]"
2391.59,1152.09,"[2,0,4,2,2,0,0,0,0,2,0,2,4,2,0]"
2484.76,1149.52,"[4,0,4,4,2,0,0,0,4,2,0,0,4,0,2]"
2701.8,1144.87,"[4,0,4,2,2,2,4,0,4,0,0,0,4,0,0]"
3076.92,1140.38,"[2,0,4,2,2,0,2,0,0,4,2,2,4,2,0]"
3500.9,1133.53,"[2,0,4,2,4,0,2,0,0,2,4,2,4,2,0]"
3748.63,1130.3,"[0,2,4,4,2,2,4,0,4,0,2,0,4,4,4]"
4043.63,1129.1,"[2,0,4,2,4,2,4,0,0,2,4,2,4,2,0]"
4077.49,1118.29,"[2,4,4,4,4,0,4,0,0,2,2,0,4,2,0]"
5323.5,1111.49,"[4,2,4,4,2,2,4,0,4,4,2,4,4,4,4]"
