cost,evac,widths
0.0,1445.51,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
16.76,1444.74,"[0,0,0,0,0,0,0,0,4,0,0,0,0,0,0]"
298.36,1411.81,"[2,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
434.4,1335.26,"[0,0,2,0,0,0,2,0,0,0,0,0,0,0,0]"
650.66,1324.03,"[0,0,0,0,0,0,0,2,0,0,0,0,4,0,0]"
1023.79,1288.45,"[0,4,0,0,0,0,0,0,0,0,0,0,4,0,0]"
1103.68,1282.28,"[0,0,0,0,0,0,4,0,2,0,0,0,4,2,0]"
1358.65,1264.19,"[0,0,2,2,0,0,0,0,0,0,2,2,2,2,0]"
1511.34,1244.39,"[0,0,4,2,0,0,4,0,0,0,0,2,2,0,0]"
1809.09,1192.75,"[4,4,2,0,0,0,0,0,0,0,0,0,4,0,0]"
2591.19,1187.06,"[0,0,2,4,2,0,4,0,2,0,2,2,4,2,0]"
2839.72,1157.1,"[2,2,2,0,2,0,4,0,2,0,2,0,4,4,0]"
3234.27,1154.16,"[2,0,4,2,2,0,4,0,0,4,0,2,4,2,2]"
3345.04,1150.37,"[2,0,4,2,2,0,4,0,2,0,2,4,4,2,2]"
3813.11,1147.94,"[4,2,2,4,2,2,4,0,4,0,2,0,4,4,0]"
4104.9,1138.38,"[2,2,4,2,2,0,4,0,2,4,2,4,4,2,2]"
