cost,evac,widths
0.0,1420.9,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
377.71,1420.51,"[0,0,0,4,0,0,0,0,0,0,0,0,0,0,0]"
564.24,1390.63,"[0,0,0,0,2,0,0,0,0,0,0,0,0,0,2]"
690.25,1360.4,"[2,0,0,0,2,0,0,0,0,0,0,0,0,0,0]"
973.92,1273.84,"[2,0,4,0,0,0,0,0,0,0,0,0,0,2,0]"
1090.31,1265.44,"[2,0,4,0,2,0,0,0,0,0,0,0,0,0,0]"
1122.4,1251.11,"[0,0,2,2,0,0,0,0,4,0,0,0,2,4,0]"
1265.26,1216.95,"[2,0,4,0,2,0,0,0,0,0,0,0,2,0,0]"
1362.52,1208.64,"[0,0,2,0,0,0,4,0,4,0,0,0,4,0,4]"
1516.27,1203.14,"[0,0,2,0,2,0,2,0,4,0,0,0,4,0,4]"
1820.42,1190.94,"[2,0,2,0,0,0,0,0,4,0,2,2,4,2,2]"
1900.92,1177.13,"[4,0,4,0,0,0,2,0,2,0,0,0,4,0,4]"
1931.96,1174.19,"[2,0,2,0,2,0,0,0,4,0,2,0,4,2,2]"
2253.68,1158.21,"[4,2,4,2,0,0,0,0,0,0,2,0,4,0,2]"
2827.94,1144.67,"[4,2,4,0,2,0,0,0,2,0,4,0,4,2,0]"
3558.85,1136.57,"[2,0,4,4,2,0,4,0,0,2,2,2,4,4,0]"
3730.98,1126.77,"[4,2,4,4,2,2,4,0,2,0,2,0,4,2,0]"
4059.44,1124.34,"[2,2,4,2,2,2,4,0,0,2,2,0,4,4,4]"
