cost,evac,widths
0.0,1419.45,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
217.0,1308.86,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
449.93,1304.64,"[0,0,2,0,0,0,0,0,2,0,2,0,0,0,0]"
515.36,1285.33,"[2,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
564.46,1218.33,"[0,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
788.97,1209.9,"[0,0,2,0,0,0,0,0,0,0,2,0,4,0,0]"
956.35,1205.1,"[0,0,2,0,2,0,0,0,4,0,0,0,4,0,0]"
1240.79,1204.41,"[0,4,2,0,0,0,0,0,4,0,0,0,4,0,0]"
1314.55,1185.99,"[0,0,4,0,0,0,0,0,0,0,2,0,4,0,4]"
1500.46,1180.61,"[0,0,2,0,2,0,0,0,4,0,0,0,4,4,0]"
1727.01,1178.26,"[2,0,2,0,2,0,4,0,4,0,0,0,4,0,0]"
1902.21,1169.52,"[0,0,2,0,2,0,0,0,4,0,2,0,4,4,2]"
1969.05,1162.14,"[4,0,2,0,2,0,0,0,2,0,0,0,4,2,2]"
2304.72,1155.4,"[4,2,2,0,2,0,0,0,2,0,0,0,4,2,2]"
2757.16,1154.57,"[0,2,4,0,4,0,4,0,4,0,2,0,4,0,2]"
2910.0,1134.45,"[0,2,4,0,2,0,4,0,4,0,2,0,4,4,2]"
2968.42,1126.48,"[4,2,4,0,2,0,4,0,0,0,0,0,4,2,2]"
4165.24,1125.23,"[4,0,4,2,4,2,0,0,2,4,2,2,4,2,4]"
4500.91,1119.64,"[4,2,4,2,4,2,0,0,2,4,2,2,4,2,4]"
4531.24,1113.41,"[4,4,4,2,4,0,0,0,2,4,2,2,4,2,4]"
