cost,evac,widths
0.0,1444.98,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
408.48,1335.05,"[0,0,4,0,0,0,0,0,2,0,0,0,0,0,0]"
816.28,1267.46,"[0,0,4,0,0,0,0,0,0,0,2,0,2,0,0]"
1334.36,1248.15,"[0,0,4,0,0,0,2,0,2,0,2,0,2,2,0]"
1445.89,1228.77,"[0,0,2,2,2,0,0,2,4,0,0,0,4,0,0]"
1476.98,1219.48,"[0,0,4,2,0,0,2,2,2,0,0,0,4,0,0]"
1489.27,1213.91,"[2,0,2,2,0,0,2,0,2,2,0,0,4,0,0]"
1611.66,1211.99,"[0,0,4,0,0,0,0,0,4,0,2,2,4,0,4]"
1722.16,1200.18,"[4,0,2,2,0,0,2,0,2,0,0,0,4,0,2]"
1760.69,1189.16,"[4,2,2,0,0,0,0,0,4,0,0,0,4,2,0]"
2031.62,1173.48,"[2,0,4,2,2,0,0,0,2,0,2,0,4,0,2]"
2652.75,1158.03,"[4,0,4,0,2,0,0,0,2,0,4,0,4,2,2]"
3245.84,1151.42,"[2,0,4,4,4,0,2,0,4,0,2,2,4,2,0]"
3562.58,1148.07,"[0,4,4,2,4,0,0,0,0,2,2,2,4,2,2]"
3848.89,1147.33,"[4,4,4,0,2,0,4,0,2,0,2,4,4,0,2]"
4088.02,1146.09,"[4,4,4,0,4,0,4,0,4,0,2,4,4,0,0]"
4138.57,1133.57,"[4,4,4,2,4,0,4,0,2,0,2,2,4,0,2]"
4174.02,1131.39,"[2,4,4,4,4,0,2,0,0,0,2,2,4,4,0]"
4388.31,1130.19,"[2,4,4,4,4,0,2,0,0,2,2,2,4,4,0]"
