cost,evac,widths
0.0,1419.41,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
217.0,1320.47,"[0,0,2,0,0,0,0,0,4,0,0,0,0,0,0]"
400.06,1311.3,"[0,0,4,0,0,0,0,0,0,0,0,0,0,0,0]"
583.74,1291.65,"[0,0,4,2,0,0,0,0,0,0,0,0,0,0,0]"
848.51,1291.15,"[0,0,4,0,0,0,2,0,0,2,0,0,0,0,0]"
876.05,1282.89,"[0,0,2,0,2,0,0,0,2,0,0,0,0,2,0]"
881.88,1220.45,"[0,0,2,0,0,0,0,0,2,0,0,0,4,0,4]"
1541.16,1184.01,"[0,0,4,0,2,0,0,0,0,0,2,0,4,0,2]"
2408.83,1175.18,"[0,4,4,0,2,0,0,0,2,4,0,0,4,0,2]"
2417.17,1175.08,"[0,4,4,0,2,0,0,0,4,4,0,0,4,0,2]"
2438.04,1154.61,"[4,0,4,0,2,0,4,0,0,0,2,0,4,0,0]"
3495.15,1130.56,"[2,2,4,2,2,0,4,0,0,0,2,2,4,4,0]"
3680.23,1130.06,"[2,2,4,4,2,0,4,0,0,0,2,2,4,4,0]"
