batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,60,4640396.5,6,1126.84,0.0
1,120,4842410.7,8,1125.69,0.0
2,180,4941530.1,11,1120.87,0.0
3,240,4958954.7,15,1110.46,0.0
