batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4511396.3,8,1130.82,0.0
1,80,4729483.5,10,1130.82,0.0
2,120,4800518.3,11,1119.15,0.0
3,160,4899968.2,11,1119.15,0.0
4,200,4962035.3,13,1116.36,0.0
5,240,4970510.8,15,1110.06,0.0
