cost,evac,widths
0.0,1447.36,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
315.12,1409.69,"[2,0,0,0,0,0,0,0,4,0,0,0,0,0,0]"
498.6,1317.82,"[2,0,2,0,0,0,0,0,0,0,0,0,0,0,0]"
883.37,1228.06,"[0,2,2,0,0,0,0,0,0,0,0,0,4,0,0]"
1605.34,1199.49,"[0,0,4,4,0,0,4,0,4,0,0,0,4,0,0]"
1701.34,1185.02,"[4,0,4,4,0,0,0,0,0,0,0,0,4,0,0]"
1908.12,1180.39,"[2,0,4,2,0,0,2,0,2,0,0,0,4,2,2]"
2037.01,1175.9,"[4,2,4,4,0,0,0,0,0,0,0,0,4,0,0]"
2162.44,1175.56,"[2,0,4,4,0,0,4,0,0,0,0,0,4,2,0]"
2194.82,1168.52,"[4,0,4,2,0,0,2,0,2,0,0,0,4,2,2]"
2801.86,1168.32,"[4,4,4,4,0,0,0,0,0,4,0,0,4,0,0]"
3007.9,1166.34,"[4,4,4,2,0,0,0,0,2,0,2,4,4,0,0]"
3169.25,1156.24,"[4,4,4,4,4,0,0,0,2,0,0,0,4,0,0]"
3349.56,1154.13,"[2,4,4,4,4,0,2,0,0,0,2,0,4,0,0]"
3435.6,1153.04,"[0,4,4,2,4,0,4,0,4,0,0,2,4,2,0]"
3652.84,1150.71,"[0,4,4,2,4,0,2,0,0,0,4,0,4,4,0]"
3881.75,1145.19,"[4,4,4,2,4,4,0,0,4,0,0,0,4,2,0]"
4039.35,1141.66,"[4,4,4,4,4,0,2,0,0,0,4,0,4,0,2]"
4059.45,1137.29,"[4,4,4,2,4,0,2,0,2,0,0,4,4,2,0]"
4431.4,1128.9,"[4,4,4,4,4,0,2,0,2,0,4,0,4,4,0]"
