cost,evac,widths
0.0,1421.69,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
16.76,1420.74,"[0,0,0,0,0,0,0,0,4,0,0,0,0,0,0]"
565.62,1420.14,"[0,0,0,0,0,0,0,0,0,0,0,4,0,0,0]"
593.48,1356.74,"[4,0,0,0,0,0,0,0,2,0,0,0,0,0,0]"
607.56,1333.93,"[0,0,0,0,0,0,0,0,2,4,0,0,2,0,0]"
632.85,1304.51,"[0,0,2,0,0,0,0,0,2,4,0,0,0,0,0]"
634.22,1288.37,"[0,0,4,0,0,0,2,0,0,0,0,0,0,0,0]"
981.68,1195.72,"[0,0,4,0,0,0,2,0,0,0,0,0,4,0,0]"
1876.83,1163.99,"[0,2,4,0,2,0,0,0,0,0,2,0,4,0,2]"
2789.3,1147.16,"[4,2,4,2,0,2,4,0,0,0,0,0,4,0,2]"
3069.33,1143.71,"[4,2,4,0,2,2,0,0,4,0,2,2,4,0,2]"
3187.39,1134.78,"[4,0,4,4,2,2,2,0,2,0,0,0,4,4,0]"
3728.66,1130.37,"[4,4,4,2,2,0,4,0,4,2,0,2,4,0,2]"
4253.22,1116.86,"[4,0,4,2,4,2,4,0,4,2,2,0,4,4,2]"
