batch,sim_calls,hypervolume,n_front0,best_evac,best_cost
0,40,4406829.3,6,1152.05,0.0
1,80,4525389.9,11,1148.31,0.0
2,120,4699307.9,12,1137.09,0.0
3,160,4787888.8,15,1137.09,0.0
4,200,4844361.8,17,1137.09,0.0
5,240,4886785.7,20,1126.99,0.0
