cost,evac,widths
0.0,1419.77,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
191.71,1347.57,"[0,0,0,0,0,0,0,0,4,0,0,0,2,0,0]"
1113.32,1228.68,"[0,0,2,0,0,0,0,0,0,0,0,4,4,0,0]"
1213.16,1217.13,"[0,0,2,0,0,0,0,0,0,4,2,0,4,0,0]"
1231.4,1203.53,"[0,0,4,0,0,0,0,0,0,0,4,0,4,0,0]"
2023.66,1202.95,"[0,0,4,0,0,0,4,2,4,0,4,0,4,0,0]"
2083.65,1188.8,"[0,0,4,4,0,0,0,0,0,0,2,4,4,0,2]"
2180.1,1184.05,"[0,0,4,0,2,0,0,0,4,2,4,0,4,0,4]"
2199.5,1169.49,"[2,2,4,0,0,0,2,0,4,0,2,0,4,0,4]"
2875.56,1165.39,"[0,4,4,2,0,0,2,0,2,4,0,0,4,2,4]"
2978.62,1146.29,"[4,2,4,2,2,0,2,0,4,0,4,0,4,0,0]"
3928.56,1133.81,"[2,2,4,4,2,0,0,0,2,4,4,0,4,4,4]"
4466.64,1128.82,"[2,4,4,2,2,4,4,0,2,0,4,0,4,2,4]"
